Date,Batting Team,Bowling Team,Striker,Non-Striker,Bowler,Innings,Unique,Over Number,Over Ball,Runs,Wides,Team Runs,Remaining Overs,Lead By,Trail By,Fall Of Wickets,Day,Session,Leg Byes,No Balls,Balls,Byes,Remaining Balls,Remaining Runs,Run Rate,Batter Sixes,Batter Runs,Batter Fours,Batter Balls,Batter Total Runs,Dismissal Type,Dismissal Fielder,On Field Minutes,Shot Angle,Shot Magnitude,Wagon Position,Pitching Length,Pitching Line,Shot Connection,False Shot,Feet Movement,Shot Type,Delivery Type,Bowling Side,Bowling Type,Bowling Hand,Catch Difficulty,Bounce_Angle,Pitch_x,Pitch_y,Friction,Restitution,Deviation,Reaction Time,Release Speed,Swing,Swing Distance,Six Distance
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Ryan Rickelton,Khaleel Ahmed,1,0.1,1,1,0,0,0,19.5,0,0,0,1,1,0,0,1,0,119,,0.0,0,0,0,1,0,,,0,316,22,Short Leg,Length Delivery,Outside Leg,Missed,1,Front Foot,Worked,Straight Ball,Over,Fast,Left,0.0,5.494,7.992,0.34,0.114,0.415,0.058,0.475,86.165,-0.159,-0.019,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Ryan Rickelton,Khaleel Ahmed,1,0.2,1,2,0,0,0,19.4,0,0,0,1,1,0,0,2,0,118,,0.0,0,0,0,2,0,,,0,90,48,Wicketkeeper,Length Delivery,Outside Off,Missed,1,Front Foot,Forward Defensive,Straight Ball,Over,Fast,Left,0.0,8.027,6.268,-0.111,0.145,0.655,0.007,0.534,84.831,0.566,0.057,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Ryan Rickelton,Khaleel Ahmed,1,0.3,1,3,0,0,0,19.3,0,0,0,1,1,0,0,3,0,117,,0.0,0,0,0,3,0,,,0,270,40,Bowler,Back of Length,Outside Leg,MisTimed,1,Back Foot,Worked,Straight Ball,Over,Fast,Left,0.0,8.421,9.262,0.199,0.148,0.575,-0.414,0.487,83.926,0.159,0.012,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Rohit Sharma,Ryan Rickelton,Khaleel Ahmed,1,0.4,1,4,0,0,0,19.2,0,0,1,1,1,0,0,4,0,116,,0.0,0,0,0,4,0,caught,Shivam Dube,3,340,83,Mid Wicket,Length Delivery,Outside Leg,MisTimed,1,Front Foot,Flick,Straight Ball,Over,Fast,Left,1.0,6.753,6.617,0.202,0.1,0.554,-0.365,0.457,85.293,1.486,0.146,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Ryan Rickelton,Khaleel Ahmed,1,0.5,1,5,0,0,0,19.1,0,0,0,1,1,0,0,5,0,115,,0.0,0,0,0,1,0,,,0,90,48,Wicketkeeper,Length Delivery,Off stump,Missed,1,Front Foot,Forward Defensive,Straight Ball,Over,Fast,Left,0.0,9.0,7.464,0.044,0.142,0.69,-0.874,0.538,84.768,0.32,0.003,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Ryan Rickelton,Khaleel Ahmed,1,0.6,1,6,4,0,4,19.0,0,0,0,1,1,0,0,6,0,114,,4.0,0,4,1,2,4,,,0,3,173,Deep Square Leg,Length Delivery,Outside Leg,Middled,0,Front Foot,Flick,Straight Ball,Over,Fast,Left,0.0,6.308,4.092,0.338,0.133,0.58,-0.212,0.448,86.545,-0.006,-0.001,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Sam Curran,1,1.1,2,1,4,0,8,18.5,0,0,0,1,1,0,0,7,0,113,,6.85,0,4,1,1,4,,,0,220,190,Deep Mid Wicket,Back of Length,Outside Off,Middled,0,Back Foot,Flick,Straight Ball,Over,Fast,Left,0.0,7.685,8.207,0.13,0.137,0.583,-0.122,0.528,77.355,-0.126,0.186,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Sam Curran,1,1.2,2,2,0,0,8,18.4,0,0,0,1,1,0,0,8,0,112,,6.0,0,0,1,2,4,,,0,286,90,Mid Off,Length Delivery,Middle stump,Good,0,Front Foot,Drive,Out Swing,Over,Fast,Left,0.0,9.317,5.915,0.009,0.173,0.733,0.968,0.499,80.111,1.806,0.192,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Sam Curran,1,1.3,2,3,4,0,12,18.3,0,0,0,1,1,0,0,9,0,111,,8.0,0,4,2,3,8,,,0,263,192,Long On,Back of Length,Outside Off,Middled,0,Back Foot,Drive,Straight Ball,Over,Fast,Left,0.0,7.912,9.051,0.231,0.137,0.533,-0.337,0.529,77.497,0.538,0.042,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Sam Curran,1,1.4,2,4,0,0,12,18.2,0,0,0,1,1,0,0,10,0,110,,7.2,0,0,2,4,8,,,0,216,51,Short Mid Wicket,Length Delivery,Off stump,Good,0,Back Foot,Worked,Straight Ball,Over,Fast,Left,0.0,8.438,7.797,0.09,0.139,0.647,0.313,0.511,79.926,-0.702,-0.055,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Sam Curran,1,1.5,2,5,1,0,13,18.1,0,0,0,1,1,0,0,11,0,109,,7.09,0,1,2,5,9,,,0,253,147,Long On,Back of Length,Outside Off,Good,0,Back Foot,Worked,Straight Ball,Over,Fast,Left,0.0,8.268,8.804,0.182,0.177,0.584,0.399,0.515,80.261,-0.371,-0.028,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Ryan Rickelton,Sam Curran,1,1.6,2,6,4,0,17,18.0,0,0,0,1,1,0,0,12,0,108,,8.5,0,4,2,3,8,,,0,310,181,Long On,Length Delivery,Middle stump,Middled,0,Front Foot,Drive,Straight Ball,Over,Fast,Left,0.0,7.327,6.537,0.03,0.128,0.603,0.536,0.469,81.738,-0.387,-0.039,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Khaleel Ahmed,1,2.1,3,1,4,0,21,17.5,0,0,0,1,1,0,0,13,0,107,,9.69,0,4,3,6,13,,,0,342,182,Deep Cover,Back of Length,Outside Off,Middled,0,Back Foot,Drive,InSwinger,Over,Fast,Left,0.0,8.532,9.298,0.545,0.24,0.577,-0.576,0.507,83.057,-0.265,-0.022,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Ryan Rickelton,Will Jacks,Khaleel Ahmed,1,2.2,3,2,0,0,21,17.4,0,0,2,1,1,0,0,14,0,106,,9.0,0,0,3,7,13,bowled,,11,0,0,,Length Delivery,Wide Off,Inside Edge,1,Front Foot,Drive,Straight Ball,Over,Fast,Left,0.0,7.028,7.243,0.654,0.197,0.569,0.06,0.483,85.229,-0.36,-0.034,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Khaleel Ahmed,1,2.3,3,3,0,0,21,17.3,0,0,0,1,1,0,0,15,0,105,,8.4,0,0,0,1,0,,,0,339,77,Mid Wicket,Length Delivery,Outside Leg,MisTimed,1,Front Foot,Flick,Straight Ball,Over,Fast,Left,0.0,5.099,4.727,0.244,0.155,0.456,0.402,0.472,83.811,0.136,0.009,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Khaleel Ahmed,1,2.4,3,4,0,0,21,17.2,0,0,0,1,1,0,0,16,0,104,,7.87,0,0,0,2,0,,,0,270,40,Bowler,Length Delivery,Outside Leg,Good,0,Back Foot,Backward Defensive,Straight Ball,Over,Fast,Left,0.0,8.795,7.731,0.174,0.221,0.667,0.056,0.487,86.181,0.109,0.005,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Khaleel Ahmed,1,2.5,3,5,0,0,21,17.1,0,0,0,1,1,0,0,17,0,103,,7.41,0,0,0,3,0,,,0,184,68,Point,Back of Length,Leg stump,Good,0,Back Foot,Backward Defensive,Straight Ball,Over,Fast,Left,0.0,9.408,8.49,0.11,0.127,0.7,0.46,0.5,84.788,-0.319,-0.032,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Khaleel Ahmed,1,2.6,3,6,0,0,21,17.0,0,0,0,1,1,0,0,18,0,102,,7.0,0,0,0,4,0,,,0,164,75,Backward Point,Back of Length,Outside Leg,Good,0,Back Foot,Steer,Out Swing,Over,Fast,Left,0.0,8.069,8.921,0.183,0.148,0.565,-0.805,0.504,83.337,-0.209,-0.017,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Suryakumar Yadav,Nathan Ellis,1,3.1,4,1,1,0,22,16.5,0,0,0,1,1,0,0,19,0,101,,6.94,0,1,2,4,9,,,0,5,147,Deep Square Leg,Back of Length,Off stump,Good,0,Back Foot,Worked,Slower Ball,Over,Medium,Right,0.0,9.605,10.072,-0.135,0.188,0.583,-0.979,0.596,68.731,0.899,-0.012,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Nathan Ellis,1,3.2,4,2,2,0,24,16.4,0,0,0,1,1,0,0,20,0,100,,7.2,0,2,0,5,2,,,0,347,135,Deep Mid Wicket,Back of Length,Outside Off,Good,0,Back Foot,Pull,Straight Ball,Over,Medium,Right,0.0,7.66,10.255,-0.249,0.115,0.52,-0.079,0.506,82.807,0.027,0.002,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Nathan Ellis,1,3.3,4,3,1,0,25,16.3,0,0,0,1,1,0,0,21,0,99,,7.14,0,1,0,6,3,,,0,236,99,Mid Off,Back of Length,Outside Off,Good,0,Back Foot,Drive,Straight Ball,Over,Medium,Right,0.0,7.415,9.712,-0.386,0.155,0.524,-0.163,0.509,81.793,0.247,-0.036,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Suryakumar Yadav,Nathan Ellis,1,3.4,4,4,1,0,26,16.2,0,0,0,1,1,0,0,22,0,98,,7.09,0,1,2,5,10,,,0,303,111,Mid On,Back of Length,Outside Off,Good,0,Back Foot,Worked,Straight Ball,Over,Medium,Right,0.0,7.521,8.172,-0.184,0.169,0.606,-0.12,0.464,86.491,0.294,0.021,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Nathan Ellis,1,3.5,4,5,4,0,30,16.1,0,0,0,1,1,0,0,23,0,97,,7.82,0,4,1,7,7,,,0,326,187,Deep Mid Wicket,Back of Length,Outside Off,Middled,0,Back Foot,Pull,Straight Ball,Over,Medium,Right,0.0,7.975,9.722,-0.308,0.153,0.572,-0.723,0.489,82.823,0.611,0.069,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Nathan Ellis,1,3.6,4,6,0,0,30,16.0,0,0,0,1,1,0,0,24,0,96,,7.5,0,0,1,8,7,,,0,270,40,Bowler,Back of Length,Outside Off,MisTimed,1,Back Foot,Worked,Straight Ball,Over,Medium,Right,0.0,7.862,9.547,-0.253,0.115,0.563,0.197,0.49,85.548,0.694,0.028,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Suryakumar Yadav,Ravichandran Ashwin,1,4.1,5,1,1,0,31,15.5,0,0,0,1,1,0,0,25,0,95,,7.44,0,1,2,6,11,,,0,285,158,Long On,Length Delivery,Outside Off,Good,0,Back Foot,Worked,Off Break,Over,OffSpin,Right,0.0,10.475,4.295,-0.276,0.238,0.658,-0.602,0.7,57.561,-0.134,-0.017,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Ravichandran Ashwin,1,4.2,5,2,4,0,35,15.4,0,0,0,1,1,0,0,26,0,94,,8.07,0,4,2,9,11,,,0,222,186,Deep Extra Cover,Length Delivery,Outside Off,Middled,0,Front Foot,Drive,CarromBall,Over,OffSpin,Right,0.0,10.302,3.641,-0.329,0.168,0.595,-0.942,0.689,55.929,0.529,0.064,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Will Jacks,Ravichandran Ashwin,1,4.3,5,3,1,0,36,15.3,0,0,0,1,1,0,0,27,0,93,,8.0,0,1,2,10,12,,,0,320,112,Mid Wicket,Length Delivery,Middle stump,Good,0,Front Foot,Worked,CarromBall,Over,OffSpin,Right,0.0,9.983,5.738,0.003,0.165,0.599,-1.231,0.685,57.612,0.43,0.046,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Will Jacks,Suryakumar Yadav,Ravichandran Ashwin,1,4.4,5,4,0,0,36,15.2,0,0,3,1,1,0,0,28,0,92,,7.71,0,0,2,7,11,caught,Shivam Dube,19,239,113,Mid Off,Length Delivery,Outside Off,MisTimed,1,Front Foot,Drive,CarromBall,Over,OffSpin,Right,1.0,9.739,6.037,-0.186,0.181,0.576,-1.492,0.655,58.402,0.254,0.027,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravichandran Ashwin,1,4.5,5,5,4,0,40,15.1,0,0,0,1,1,0,0,29,0,91,,8.27,0,4,1,1,4,,,0,13,168,Deep Backward Point,Length Delivery,Outside Off,Middled,0,Backs Away,Drive,Off Break,Round,OffSpin,Right,0.0,11.72,4.66,0.401,0.258,0.659,2.397,0.706,55.808,-2.199,-0.252,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravichandran Ashwin,1,4.6,5,6,4,0,44,15.0,0,0,0,1,1,0,0,30,0,90,,8.8,0,4,2,2,8,,,0,31,164,Third Man,Length Delivery,Outside Off,Middled,0,Front Foot,Reverse Sweep,Off Break,Round,OffSpin,Right,0.0,11.927,4.667,0.156,0.232,0.638,2.508,0.684,54.162,-2.342,-0.269,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Khaleel Ahmed,1,5.1,6,1,0,0,44,14.5,0,0,0,1,1,0,0,31,0,89,,8.51,0,0,2,11,12,,,0,244,91,Mid Off,Length Delivery,Middle stump,Good,0,Front Foot,Drive,Straight Ball,Over,Fast,Left,0.0,7.07,5.493,0.015,0.137,0.625,-0.02,0.475,84.727,-0.036,-0.005,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Khaleel Ahmed,1,5.2,6,2,0,0,44,14.4,0,0,0,1,1,0,0,32,0,88,,8.25,0,0,2,12,12,,,0,306,91,Mid On,Length Delivery,Outside Leg,MisTimed,1,Back Foot,Pushed,Straight Ball,Over,Fast,Left,0.0,6.387,6.403,0.212,0.146,0.544,0.401,0.469,87.876,-0.079,-0.014,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Khaleel Ahmed,1,5.3,6,3,6,0,50,14.3,0,0,0,1,1,0,0,33,0,87,,9.09,1,6,2,13,18,,,0,351,179,Deep Mid Wicket,Length Delivery,Outside Leg,Middled,0,Front Foot,Flick,Straight Ball,Over,Fast,Left,0.0,7.142,6.204,0.389,0.16,0.609,-0.325,0.46,85.558,-0.062,-0.022,74.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Khaleel Ahmed,1,5.4,6,4,1,0,51,14.2,0,0,0,1,1,0,0,34,0,86,,9.0,1,1,2,14,19,,,0,166,82,Backward Point,Back of Length,Outside Leg,MisTimed,1,Back Foot,Dropped,Straight Ball,Over,Fast,Left,0.0,10.107,9.059,0.292,0.176,0.707,0.037,0.489,84.042,0.027,0.002,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Khaleel Ahmed,1,5.5,6,5,0,0,51,14.1,0,0,0,1,1,0,0,35,0,85,,8.74,0,0,2,3,8,,,0,198,66,Mid Wicket,Length Delivery,Outside Off,Good,0,Front Foot,Worked,Straight Ball,Over,Fast,Left,0.0,7.349,6.529,0.201,0.163,0.63,-0.194,0.471,85.383,-0.49,-0.049,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Khaleel Ahmed,1,5.6,6,6,1,0,52,14.1,0,0,0,1,1,0,1,35,0,85,,8.91,0,0,2,4,8,,,0,90,48,Wicketkeeper,Length Delivery,Wide Off,Left,0,Back Foot,Leave,Out Swing,Over,Fast,Left,0.0,7.851,7.507,1.071,0.147,0.65,-0.531,0.537,84.894,0.974,0.089,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Khaleel Ahmed,1,5.6,6,7,0,0,52,14.0,0,0,0,1,1,0,0,36,0,84,,8.66,0,0,2,5,8,,,0,90,48,Wicketkeeper,Short Length,Wide Off,Missed,1,Back Foot,Pull,Straight Ball,Over,Fast,Left,0.0,12.061,11.231,0.647,0.233,0.685,0.537,0.566,86.296,-0.785,-0.037,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Ravindra Jadeja,1,6.1,7,1,0,0,52,13.5,0,0,0,1,1,0,0,37,0,83,,8.43,1,0,2,15,19,,,0,295,19,Short Leg,Half Volley,Outside Leg,Missed,1,Front Foot,Flick,Stock Ball,Round,Orthodox,Left,0.0,6.16,2.62,0.306,0.203,0.374,-2.105,0.643,60.678,1.931,0.252,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Ravindra Jadeja,1,6.2,7,2,1,0,53,13.4,0,0,0,1,1,0,0,38,0,82,,8.36,1,1,2,16,20,,,0,334,143,Deep Mid Wicket,Length Delivery,Middle stump,Good,0,Front Foot,Worked,Stock Ball,Round,Orthodox,Left,0.0,10.701,5.114,0.044,0.319,0.617,-3.214,0.637,61.432,2.225,0.237,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravindra Jadeja,1,6.3,7,3,0,0,53,13.3,0,0,0,1,1,0,0,39,0,81,,8.15,0,0,2,6,8,,,0,326,95,Extra Cover,Half Volley,Outside Off,Good,0,Front Foot,Drive,QuickerBall,Round,Orthodox,Left,0.0,8.885,2.872,0.223,0.303,0.544,-2.161,0.629,61.721,1.992,0.256,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravindra Jadeja,1,6.4,7,4,6,0,59,13.2,0,0,0,1,1,0,0,40,0,80,,8.85,1,6,2,7,14,,,0,301,187,Long Off,Length Delivery,Outside Off,Middled,0,Backs Away,Drive,Stock Ball,Round,Orthodox,Left,0.0,10.001,4.217,0.228,0.304,0.582,-2.116,0.617,62.663,1.641,0.194,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravindra Jadeja,1,6.5,7,5,0,0,59,13.1,0,0,0,1,1,0,0,41,0,79,,8.63,1,0,2,8,14,,,0,270,40,Bowler,Length Delivery,Middle stump,Good,0,Back Foot,Drive,QuickerBall,Round,Orthodox,Left,0.0,9.87,6.188,0.053,0.248,0.585,-2.097,0.657,62.796,1.676,0.171,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Tilak Varma,Suryakumar Yadav,Ravindra Jadeja,1,6.6,7,6,0,0,59,13.0,0,0,0,1,1,0,0,42,0,78,,8.42,1,0,2,9,14,,,0,90,48,Wicketkeeper,Length Delivery,Outside Off,Missed,1,Front Foot,Drive,Stock Ball,Round,Orthodox,Left,0.0,9.636,3.589,0.414,0.217,0.591,-1.751,0.729,60.9,2.74,0.338,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Noor Ahmad,1,7.1,8,1,1,1,60,13.0,0,0,0,1,1,0,0,42,0,78,,8.57,1,0,2,16,20,,,0,90,48,Wicketkeeper,Length Delivery,Outside Off,Left,0,Front Foot,Leave,LeftArmLegspin,Over,Unorthodox,Left,0.0,8.685,7.301,-0.565,0.284,0.5,1.365,0.814,57.519,-2.092,-0.198,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Noor Ahmad,1,7.1,8,2,0,0,60,12.5,0,0,0,1,1,0,0,43,0,77,,8.37,1,0,2,17,20,,,0,159,82,Backward Point,Length Delivery,Middle stump,MisTimed,1,Back Foot,Cut,LeftArmLegspin,Over,Unorthodox,Left,0.0,13.215,6.626,0.006,0.366,0.696,2.631,0.76,56.704,-1.606,-0.16,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Noor Ahmad,1,7.2,8,3,0,0,60,12.4,0,0,0,1,1,0,0,44,0,76,,8.18,1,0,2,18,20,,,0,164,75,Backward Point,Length Delivery,Middle stump,Good,0,Back Foot,Cut,LeftArmLegspin,Over,Unorthodox,Left,0.0,11.952,6.976,0.022,0.302,0.693,3.79,0.727,58.753,-1.564,-0.139,-1.0
2025-3-24 19:30:00,Mumbai Indians,Chennai Super Kings,Suryakumar Yadav,Tilak Varma,Noor Ahmad,1,7.3,8,4,1,0,61,12.3,0,0,0,1,1,0,0,45,0,75,,8.13,1,1,2,19,21,,,0,8,154,Deep Square Leg,Half Volley,Outside Off,Top Edge,1,Front Foot,Sweep,Googly,Over,Unorthodox,Left,0.0,9.675,4.064,-0.404,0.129,0.602,0.238,0.633,56.949,-2.202,-0.263,-1.0
